CENTROIDE,PALABRA,DISTANCIA
cañaris,agapantos,0.0927
cañaris,guayas,0.0872
cañaris,shio,0.1055
cañaris,coliseo,0.1079
cañaris,necesitamos,0.0938
cañaris,sarahurco,0.0849
cañaris,bububu,0.0899
cañaris,calle,0.0985
cañaris,denuncia,0.0906
cañaris,porchancay,0.0831
cañaris,samaniego,0.098
cañaris,majaderos,0.0924
cañaris,quillopungo,0.0725
cañaris,ayudarme,0.089
cañaris,macas,0.0815
cañaris,cartodromo,0.0883
cañaris,carpintería,0.0883
cañaris,patrullero,0.0816
cañaris,hablando,0.0925
cañaris,chilcapamba,0.0801
cañaris,chilcapamba,0.0803
cañaris,llamar,0.0889
cañaris,llamamos,0.0762
cañaris,pedregal,0.0837
cañaris,huaynacapac,0.0978
cañaris,jugar,0.0859
cañaris,sinincay,0.0854
cañaris,huaynacapac,0.0889
cañaris,gualaceo,0.1016
cañaris,zhumir,0.1147
cañaris,guachapala,0.0742
cañaris,policía,0.0844
cañaris,chilcapamba,0.0837
cañaris,cañarís,0.0744
cañaris,turuhuaico,0.081
cañaris,cañarís,0.0771
cañaris,volqueta,0.0846
cañaris,tomebamba,0.0902
cañaris,mosqueta,0.0907
cañaris,tránsito,0.0817
cañaris,cañarejo,0.0791
cañaris,sanquiquirinas,0.0927
cañaris,garaicoa,0.0898
cañaris,comunicarme,0.0775
cañaris,guaguas,0.0821
cañaris,aguarongo,0.0808
cañaris,rumiurca,0.0949
cañaris,quimsacocha,0.0818
cañaris,gualaceo,0.0828
cañaris,cuantas,0.0859
cañaris,pucamuro,0.0776
cañaris,cielal,0.0912
cañaris,rechichal,0.0783
cañaris,empanadas,0.0859
cañaris,tahuantinsuyo,0.0869
cañaris,vargas,0.0974
cañaris,sinincay,0.0813
cañaris,pedregal,0.0856
cañaris,catalinas,0.081
cañaris,agrediendo,0.084
cañaris,pichincha,0.0786
cañaris,italpsios,0.088
cañaris,cañaris,0.0764
cañaris,direcciones,0.0978
cañaris,resguardo,0.0813
cañaris,parqueado,0.0825
cañaris,paucarbamba,0.0854
cañaris,remigio,0.0913
cañaris,chiquintad,0.0743
cañaris,estacionados,0.095
cañaris,totoracocha,0.0804
cañaris,gratuita,0.0938
cañaris,quintacocha,0.0816
cañaris,miraflores,0.0916
cañaris,circunvalación,0.0898
cañaris,ricaurte,0.0924
cañaris,canñar,0.0725
cañaris,guaquillas,0.0807
cañaris,chantamarca,0.0767
cañaris,chaullalabamba,0.0856
cañaris,chaullabamba,0.082
cañaris,malguay,0.0992
cañaris,chirimoyas,0.0758
cañaris,drogando,0.0805
cañaris,chmborazo,0.0839
cañaris,cañar,0.0873
cañaris,sarahurco,0.0824
cañaris,pegaron,0.0842
cañaris,chaullabamba,0.0867
cañaris,chaullabamba,0.0868
cañaris,gritos,0.1217
cañaris,gualalcay,0.087
cañaris,carpinteria,0.0797
cañaris,ingapirca,0.0879
cañaris,remigio,0.0913
cañaris,robando,0.0919
cañaris,canchas,0.0876
cañaris,guandun,0.0923
cañaris,challuabamba,0.0833
cañaris,tarqui,0.0965
cañaris,pichincha,0.0851
cañaris,gualaceo,0.0919
cañaris,guachapala,0.0769
cañaris,antiplano,0.0921
cañaris,llamado,0.0752
cañaris,rumiurco,0.0864
cañaris,ayudarme,0.0849
cañaris,marañón,0.0819
cañaris,yanaurco,0.0785
cañaris,armenillas,0.0833
cañaris,basura,0.0931
cañaris,cañal,0.0791
cañaris,jalupata,0.0813
cañaris,tumbuwayco,0.0781
cañaris,quinjeo,0.0843
cañaris,chasquis,0.0951
cañaris,saritumas,0.0905
cañaris,paccha,0.0935
cañaris,ingapicarca,0.0859
cañaris,pichincha,0.0808
cañaris,shapacal,0.089
cañaris,rodando,0.0932
cañaris,caleras,0.0831
cañaris,uncovia,0.1085
cañaris,rumiñahui,0.088
cañaris,parculoma,0.0883
cañaris,pichincha,0.0848
cañaris,ornapala,0.1054
cañaris,pacha,0.0959
cañaris,muñoz,0.0922
cañaris,cañaris,0.0724
cañaris,tecnociclo,0.0948
cañaris,pidiendo,0.0799
cañaris,chilcapamba,0.0791
cañaris,ambulancia,0.0856
cañaris,esquinas,0.0867
cañaris,cochancay,0.0763
cañaris,resguardo,0.0828
cañaris,placas,0.1011
cañaris,tuneados,0.1027
cañaris,quemando,0.0855
cañaris,sinincay,0.0818
cañaris,indíqueme,0.0962
cañaris,hidropaute,0.0942
cañaris,subidita,0.0932
cañaris,azogues,0.0885
cañaris,miwir,0.1135
cañaris,huayna,0.0906
cañaris,encalada,0.0945
cañaris,guarango,0.0796
cañaris,cañaris,0.0752
cañaris,franciscocisneros,0.0902
cañaris,cedron,0.109
cañaris,azusenas,0.0855
cañaris,escalinatas,0.0864
cañaris,pumapungo,0.0845
cañaris,guiburgos,0.0871
hablando,peleando,0.0751
hablando,enviar,0.0743
hablando,policia,0.0803
hablando,buscando,0.0823
hablando,problema,0.0907
hablando,auxilio,0.0845
hablando,tratando,0.0813
hablando,enfermedad,0.0822
hablando,policia,0.0808
hablando,robando,0.0799
hablando,descanso,0.0767
hablando,insultando,0.0826
hablando,pueda,0.0781
hablando,molestando,0.08
hablando,buscando,0.0867
hablando,pegando,0.0732
hablando,turuhaico,0.0861
hablando,rastreando,0.0743
hablando,iglesia,0.0855
hablando,gritando,0.0935
hablando,cuidando,0.063
hablando,congestionado,0.0849
hablando,reporte,0.0853
hablando,siempre,0.0717
hablando,conduciendo,0.0736
hablando,reanimación,0.0751
hablando,hablar,0.0867
hablando,conduciendo,0.0768
hablando,adentro,0.0795
hablando,autorización,0.0754
hablando,manejando,0.0811
hablando,llamada,0.0752
hablando,gritando,0.076
hablando,universidad,0.0847
hablando,pidiendo,0.0888
hablando,ibuprofeno,0.0776
hablando,tapando,0.0918
hablando,comunidad,0.0774
hablando,pidiendo,0.0706
hablando,minuto,0.0887
hablando,llamamos,0.0759
hablando,epilepsia,0.0781
hablando,acostado,0.0814
hablando,confundida,0.0784
hablando,peleando,0.0826
hablando,colegio,0.0846
hablando,denuncia,0.0814
hablando,pregunta,0.0703
hablando,convulsionó,0.0736
hablando,ciudadela,0.0886
hablando,chiquintad,0.076
hablando,interrumpiendo,0.0714
hablando,problema,0.0746
hablando,ayudarle,0.0749
hablando,policía,0.0758
hablando,departamento,0.0804
hablando,comunicarle,0.0744
hablando,vulcanizadora,0.0839
hablando,vigilancia,0.0825
hablando,detencion,0.0887
hablando,manejando,0.0701
hablando,minutos,0.0825
hablando,inflamados,0.0851
hablando,averiguamos,0.0738
hablando,esperando,0.0711
hablando,enfermedad,0.0831
hablando,peleando,0.0844
hablando,desmayado,0.0898
hablando,alfonso,0.0817
hablando,nuevamente,0.0851
hablando,invadiendo,0.0779
hablando,paciente,0.0768
